company_id,narrative
ABB,"ABB demonstrates a notable financial profile.

Net Profit Margin: 20.53%

Operating Profit Margin: 25.0%

Return on Equity: 32.47%

Debt to Equity: 0.0224

Free Cash Flow: 1095.0 Cr

Pros:
No major strengths recorded.

Cons:
No major concerns recorded.
"
ADANIENSOL,"ADANIENSOL demonstrates a notable financial profile.

Net Profit Margin: 7.199999999999999%

Operating Profit Margin: 30.0%

Return on Equity: 9.46%

Debt to Equity: 2.9325

Free Cash Flow: 1095.0 Cr

Pros:
No major strengths recorded.

Cons:
No major concerns recorded.
"
ADANIENT,"ADANIENT demonstrates a notable financial profile.

Net Profit Margin: 3.46%

Operating Profit Margin: 12.0%

Return on Equity: 8.53%

Debt to Equity: 1.6714

Free Cash Flow: -8455.0 Cr

Pros:
No major strengths recorded.

Cons:
No major concerns recorded.
"
ADANIGREEN,"ADANIGREEN demonstrates a notable financial profile.

Net Profit Margin: 13.67%

Operating Profit Margin: 79.0%

Return on Equity: 12.81%

Debt to Equity: 6.5953

Free Cash Flow: -13347.0 Cr

Pros:
No major strengths recorded.

Cons:
No major concerns recorded.
"
ADANIPORTS,"ADANIPORTS demonstrates a notable financial profile.

Net Profit Margin: 30.34%

Operating Profit Margin: 58.0%

Return on Equity: 15.35%

Debt to Equity: 0.9373

Free Cash Flow: 8250.0 Cr

Pros:
No major strengths recorded.

Cons:
No major concerns recorded.
"
ADANIPOWER,"ADANIPOWER demonstrates a notable financial profile.

Net Profit Margin: 41.37%

Operating Profit Margin: 36.0%

Return on Equity: 48.28%

Debt to Equity: 0.8023

Free Cash Flow: 17651.0 Cr

Pros:
No major strengths recorded.

Cons:
No major concerns recorded.
"
AMBUJACEM,"AMBUJACEM demonstrates a notable financial profile.

Net Profit Margin: 14.29%

Operating Profit Margin: 19.0%

Return on Equity: 11.43%

Debt to Equity: 0.0169

Free Cash Flow: -3295.0 Cr

Pros:
No major strengths recorded.

Cons:
No major concerns recorded.
"
APOLLOHOSP,"APOLLOHOSP demonstrates a notable financial profile.

Net Profit Margin: 4.91%

Operating Profit Margin: 13.0%

Return on Equity: 13.48%

Debt to Equity: 0.7689

Free Cash Flow: 383.0 Cr

Pros:
No major strengths recorded.

Cons:
No major concerns recorded.
"
ASIANPAINT,"ASIANPAINT demonstrates a notable financial profile.

Net Profit Margin: 15.66%

Operating Profit Margin: 21.0%

Return on Equity: 29.68%

Debt to Equity: 0.1321

Free Cash Flow: 3556.0 Cr

Pros:
No major strengths recorded.

Cons:
No major concerns recorded.
"
AXISBANK,"AXISBANK demonstrates a notable financial profile.

Net Profit Margin: 22.73%

Operating Profit Margin: 11952.0%

Return on Equity: 15.83%

Debt to Equity: 8.2491

Free Cash Flow: -14556.0 Cr

Pros:
No major strengths recorded.

Cons:
No major concerns recorded.
"
BAJAJ-AUTO,"BAJAJ-AUTO demonstrates a notable financial profile.

Net Profit Margin: 17.18%

Operating Profit Margin: 20.0%

Return on Equity: 26.61%

Debt to Equity: 0.066

Free Cash Flow: 6486.0 Cr

Pros:
No major strengths recorded.

Cons:
No major concerns recorded.
"
BAJAJFINSV,"BAJAJFINSV demonstrates a notable financial profile.

Net Profit Margin: 14.13%

Operating Profit Margin: 37.0%

Return on Equity: 25.85%

Debt to Equity: 4.7894

Free Cash Flow: -79634.0 Cr

Pros:
No major strengths recorded.

Cons:
No major concerns recorded.
"
BAJAJHLDNG,"BAJAJHLDNG demonstrates a notable financial profile.

Net Profit Margin: 432.73%

Operating Profit Margin: 92.0%

Return on Equity: 13.58%

Debt to Equity: 0.0012

Free Cash Flow: 1469.0 Cr

Pros:
No major strengths recorded.

Cons:
No major concerns recorded.
"
BAJFINANCE,"BAJFINANCE demonstrates a notable financial profile.

Net Profit Margin: 26.29%

Operating Profit Margin: 19987.0%

Return on Equity: 18.84%

Debt to Equity: 3.8248

Free Cash Flow: -79931.0 Cr

Pros:
No major strengths recorded.

Cons:
No major concerns recorded.
"
BANKBARODA,"BANKBARODA demonstrates a notable financial profile.

Net Profit Margin: 15.94%

Operating Profit Margin: 4102.0%

Return on Equity: 15.76%

Debt to Equity: 12.1437

Free Cash Flow: -7559.0 Cr

Pros:
No major strengths recorded.

Cons:
No major concerns recorded.
"
BEL,"BEL demonstrates a notable financial profile.

Net Profit Margin: 19.66%

Operating Profit Margin: 25.0%

Return on Equity: 4744.05%

Debt to Equity: 0.5119

Free Cash Flow: -1265.0 Cr

Pros:
No major strengths recorded.

Cons:
No major concerns recorded.
"
BHARTIARTL,"BHARTIARTL demonstrates a notable financial profile.

Net Profit Margin: 5.71%

Operating Profit Margin: 52.0%

Return on Equity: 10.36%

Debt to Equity: 2.6095

Free Cash Flow: 27809.0 Cr

Pros:
No major strengths recorded.

Cons:
No major concerns recorded.
"
BHEL,"BHEL demonstrates a notable financial profile.

Net Profit Margin: 1.18%

Operating Profit Margin: 3.0%

Return on Equity: 1.15%

Debt to Equity: 0.3624

Free Cash Flow: -2382.0 Cr

Pros:
No major strengths recorded.

Cons:
No major concerns recorded.
"
BOSCHLTD,"BOSCHLTD demonstrates a notable financial profile.

Net Profit Margin: 14.89%

Operating Profit Margin: 13.0%

Return on Equity: 20.64%

Debt to Equity: 0.0032

Free Cash Flow: 1536.0 Cr

Pros:
No major strengths recorded.

Cons:
No major concerns recorded.
"
BPCL,"BPCL demonstrates a notable financial profile.

Net Profit Margin: 5.99%

Operating Profit Margin: 10.0%

Return on Equity: 35.51000000000001%

Debt to Equity: 0.7219

Free Cash Flow: 25415.0 Cr

Pros:
No major strengths recorded.

Cons:
No major concerns recorded.
"
BRITANNIA,"BRITANNIA demonstrates a notable financial profile.

Net Profit Margin: 12.73%

Operating Profit Margin: 19.0%

Return on Equity: 54.15%

Debt to Equity: 0.524

Free Cash Flow: 3050.0 Cr

Pros:
No major strengths recorded.

Cons:
No major concerns recorded.
"
CANBK,"CANBK demonstrates a notable financial profile.

Net Profit Margin: 13.94%

Operating Profit Margin: -7745.0%

Return on Equity: 16.72%

Debt to Equity: 14.8674

Free Cash Flow: 13296.0 Cr

Pros:
No major strengths recorded.

Cons:
No major concerns recorded.
"
CHOLAFIN,"CHOLAFIN demonstrates a notable financial profile.

Net Profit Margin: 17.85%

Operating Profit Margin: 4548.0%

Return on Equity: 17.46%

Debt to Equity: 6.8634

Free Cash Flow: -38538.0 Cr

Pros:
No major strengths recorded.

Cons:
No major concerns recorded.
"
CIPLA,"CIPLA demonstrates a notable financial profile.

Net Profit Margin: 16.12%

Operating Profit Margin: 6291.0%

Return on Equity: 15.55%

Debt to Equity: 0.0209

Free Cash Flow: 1152.0 Cr

Pros:
No major strengths recorded.

Cons:
No major concerns recorded.
"
COALINDIA,"COALINDIA demonstrates a notable financial profile.

Net Profit Margin: 26.26%

Operating Profit Margin: 47971.0%

Return on Equity: 45.17%

Debt to Equity: 0.0788

Free Cash Flow: 13617.0 Cr

Pros:
No major strengths recorded.

Cons:
No major concerns recorded.
"
DABUR,"DABUR demonstrates a notable financial profile.

Net Profit Margin: 14.6%

Operating Profit Margin: 19.0%

Return on Equity: 18.36%

Debt to Equity: 0.1384

Free Cash Flow: 1042.0 Cr

Pros:
No major strengths recorded.

Cons:
No major concerns recorded.
"
DIVISLAB,"DIVISLAB demonstrates a notable financial profile.

Net Profit Margin: 20.4%

Operating Profit Margin: 28.0%

Return on Equity: 11.79%

Debt to Equity: 0.0002

Free Cash Flow: 992.0 Cr

Pros:
No major strengths recorded.

Cons:
No major concerns recorded.
"
DLF,"DLF demonstrates a notable financial profile.

Net Profit Margin: 42.38%

Operating Profit Margin: 33.0%

Return on Equity: 6.909999999999999%

Debt to Equity: 0.1226

Free Cash Flow: 1010.0 Cr

Pros:
No major strengths recorded.

Cons:
No major concerns recorded.
"
DMART,"DMART demonstrates a notable financial profile.

Net Profit Margin: 4.99%

Operating Profit Margin: 8.0%

Return on Equity: 13.56%

Debt to Equity: 0.0317

Free Cash Flow: 278.0 Cr

Pros:
No major strengths recorded.

Cons:
No major concerns recorded.
"
DRREDDY,"DRREDDY demonstrates a notable financial profile.

Net Profit Margin: 19.91%

Operating Profit Margin: 28.0%

Return on Equity: 19.74%

Debt to Equity: 0.0709

Free Cash Flow: 509.0 Cr

Pros:
No major strengths recorded.

Cons:
No major concerns recorded.
"
EICHERMOT,"EICHERMOT demonstrates a notable financial profile.

Net Profit Margin: 24.2%

Operating Profit Margin: 26.0%

Return on Equity: 22.17%

Debt to Equity: 0.0232

Free Cash Flow: 890.0 Cr

Pros:
No major strengths recorded.

Cons:
No major concerns recorded.
"
GAIL,"GAIL demonstrates a notable financial profile.

Net Profit Margin: 7.430000000000001%

Operating Profit Margin: 11.0%

Return on Equity: 12.86%

Debt to Equity: 0.283

Free Cash Flow: 4360.0 Cr

Pros:
No major strengths recorded.

Cons:
No major concerns recorded.
"
GODREJCP,"GODREJCP demonstrates a notable financial profile.

Net Profit Margin: -3.98%

Operating Profit Margin: 21.0%

Return on Equity: -4.45%

Debt to Equity: 0.2558

Free Cash Flow: -1365.0 Cr

Pros:
No major strengths recorded.

Cons:
No major concerns recorded.
"
GRASIM,"GRASIM demonstrates a notable financial profile.

Net Profit Margin: 7.580000000000001%

Operating Profit Margin: 21.0%

Return on Equity: 11.2%

Debt to Equity: 1.5471

Free Cash Flow: -33833.0 Cr

Pros:
No major strengths recorded.

Cons:
No major concerns recorded.
"
HAL,"HAL demonstrates a notable financial profile.

Net Profit Margin: 25.0%

Operating Profit Margin: 32.0%

Return on Equity: 3816.58%

Debt to Equity: 0.6181

Free Cash Flow: 1814.0 Cr

Pros:
No major strengths recorded.

Cons:
No major concerns recorded.
"
HAVELLS,"HAVELLS demonstrates a notable financial profile.

Net Profit Margin: 6.84%

Operating Profit Margin: 10.0%

Return on Equity: 17.07%

Debt to Equity: 0.0407

Free Cash Flow: 335.0 Cr

Pros:
No major strengths recorded.

Cons:
No major concerns recorded.
"
HCLTECH,"HCLTECH demonstrates a notable financial profile.

Net Profit Margin: 14.29%

Operating Profit Margin: 22.0%

Return on Equity: 23.01%

Debt to Equity: 0.0844

Free Cash Flow: 15840.0 Cr

Pros:
No major strengths recorded.

Cons:
No major concerns recorded.
"
HDFCBANK,"HDFCBANK demonstrates a notable financial profile.

Net Profit Margin: 23.07%

Operating Profit Margin: -44685.0%

Return on Equity: 14.34%

Debt to Equity: 6.8088

Free Cash Flow: 35669.0 Cr

Pros:
Company is expected to give good quarter

Cons:
Stock is trading at 2.76 times its book value
"
HDFCLIFE,"HDFCLIFE demonstrates a notable financial profile.

Net Profit Margin: 1.55%

Operating Profit Margin: 531.0%

Return on Equity: 10.73%

Debt to Equity: 0.0648

Free Cash Flow: -2893.0 Cr

Pros:
No major strengths recorded.

Cons:
No major concerns recorded.
"
HEROMOTOCO,"HEROMOTOCO demonstrates a notable financial profile.

Net Profit Margin: 9.9%

Operating Profit Margin: 5235.0%

Return on Equity: 21.14%

Debt to Equity: 0.0342

Free Cash Flow: 3095.0 Cr

Pros:
No major strengths recorded.

Cons:
No major concerns recorded.
"
HINDALCO,"HINDALCO demonstrates a notable financial profile.

Net Profit Margin: 4.7%

Operating Profit Margin: 23872.0%

Return on Equity: 9.569999999999999%

Debt to Equity: 0.5309

Free Cash Flow: 9789.0 Cr

Pros:
No major strengths recorded.

Cons:
No major concerns recorded.
"
HINDUNILVR,"HINDUNILVR demonstrates a notable financial profile.

Net Profit Margin: 16.61%

Operating Profit Margin: 14659.0%

Return on Equity: 20.07%

Debt to Equity: 0.029

Free Cash Flow: 10145.0 Cr

Pros:
No major strengths recorded.

Cons:
No major concerns recorded.
"
ICICIBANK,"ICICIBANK demonstrates a notable financial profile.

Net Profit Margin: 28.89%

Operating Profit Margin: -14152.0%

Return on Equity: 17.99%

Debt to Equity: 6.4456

Free Cash Flow: 12547.0 Cr

Pros:
No major strengths recorded.

Cons:
No major concerns recorded.
"
ICICIGI,"ICICIGI demonstrates a notable financial profile.

Net Profit Margin: 9.370000000000001%

Operating Profit Margin: 2577.0%

Return on Equity: 15.72%

Debt to Equity: 0.0029

Free Cash Flow: 486.0 Cr

Pros:
No major strengths recorded.

Cons:
No major concerns recorded.
"
ICICIPRULI,"ICICIPRULI demonstrates a notable financial profile.

Net Profit Margin: 0.9400000000000001%

Operating Profit Margin: -1829.0%

Return on Equity: 7.73%

Debt to Equity: 0.109

Free Cash Flow: 105.0 Cr

Pros:
No major strengths recorded.

Cons:
No major concerns recorded.
"
INDIGO,"INDIGO demonstrates a notable financial profile.

Net Profit Margin: 11.85%

Operating Profit Margin: 16331.0%

Return on Equity: 892.57%

Debt to Equity: 0.0186

Free Cash Flow: 9424.0 Cr

Pros:
No major strengths recorded.

Cons:
No major concerns recorded.
"
INDUSINDBK,"INDUSINDBK demonstrates a notable financial profile.

Net Profit Margin: 19.56%

Operating Profit Margin: 2978.0%

Return on Equity: 14.25%

Debt to Equity: 6.8857

Free Cash Flow: -17468.0 Cr

Pros:
No major strengths recorded.

Cons:
No major concerns recorded.
"
INFY,"INFY demonstrates a notable financial profile.

Net Profit Margin: 17.08%

Operating Profit Margin: 24.0%

Return on Equity: 29.79%

Debt to Equity: 0.0949

Free Cash Flow: 20117.0 Cr

Pros:
Company has a good return on equity (ROE) track record: 3 Years ROE 30.9%

Cons:
Stock is trading at 9.03 times its book value
"
IOC,"IOC demonstrates a notable financial profile.

Net Profit Margin: 5.56%

Operating Profit Margin: 10.0%

Return on Equity: 23.53%

Debt to Equity: 0.7231

Free Cash Flow: 39635.0 Cr

Pros:
No major strengths recorded.

Cons:
No major concerns recorded.
"
IRCTC,"IRCTC demonstrates a notable financial profile.

Net Profit Margin: 26.02%

Operating Profit Margin: 34.0%

Return on Equity: 34.4%

Debt to Equity: 0.0186

Free Cash Flow: 667.0 Cr

Pros:
No major strengths recorded.

Cons:
No major concerns recorded.
"
IRFC,"IRFC demonstrates a notable financial profile.

Net Profit Margin: 24.06%

Operating Profit Margin: 100.0%

Return on Equity: 13.04%

Debt to Equity: 8.3784

Free Cash Flow: 7906.0 Cr

Pros:
No major strengths recorded.

Cons:
No major concerns recorded.
"
ITC,"ITC demonstrates a notable financial profile.

Net Profit Margin: 29.28%

Operating Profit Margin: 37.0%

Return on Equity: 27.85%

Debt to Equity: 0.0041

Free Cash Flow: 18742.0 Cr

Pros:
No major strengths recorded.

Cons:
No major concerns recorded.
"
JINDALSTEL,"JINDALSTEL demonstrates a notable financial profile.

Net Profit Margin: 11.8%

Operating Profit Margin: 20.0%

Return on Equity: 13.41%

Debt to Equity: 0.3717

Free Cash Flow: -2336.0 Cr

Pros:
No major strengths recorded.

Cons:
No major concerns recorded.
"
JIOFIN,"JIOFIN demonstrates a notable financial profile.

Net Profit Margin: 86.52%

Operating Profit Margin: 84.0%

Return on Equity: 1.15%

Debt to Equity: 0.0

Free Cash Flow: 763.0 Cr

Pros:
No major strengths recorded.

Cons:
No major concerns recorded.
"
JSWENERGY,"JSWENERGY demonstrates a notable financial profile.

Net Profit Margin: 15.02%

Operating Profit Margin: 47.0%

Return on Equity: 8.28%

Debt to Equity: 1.5156

Free Cash Flow: -1963.0 Cr

Pros:
No major strengths recorded.

Cons:
No major concerns recorded.
"
JSWSTEEL,"JSWSTEEL demonstrates a notable financial profile.

Net Profit Margin: 5.13%

Operating Profit Margin: 16.0%

Return on Equity: 11.55%

Debt to Equity: 1.1328

Free Cash Flow: -2389.0 Cr

Pros:
No major strengths recorded.

Cons:
No major concerns recorded.
"
KOTAKBANK,"KOTAKBANK demonstrates a notable financial profile.

Net Profit Margin: 32.39%

Operating Profit Margin: -13382.0%

Return on Equity: 14.01%

Debt to Equity: 4.0037

Free Cash Flow: 6766.0 Cr

Pros:
No major strengths recorded.

Cons:
No major concerns recorded.
"
LICI,"LICI demonstrates a notable financial profile.

Net Profit Margin: 4.84%

Operating Profit Margin: 4.0%

Return on Equity: 49.45%

Debt to Equity: 0.0

Free Cash Flow: 853.0 Cr

Pros:
No major strengths recorded.

Cons:
No major concerns recorded.
"
LODHA,"LODHA demonstrates a notable financial profile.

Net Profit Margin: 15.06%

Operating Profit Margin: 26.0%

Return on Equity: 8.9%

Debt to Equity: 0.4407

Free Cash Flow: -435.0 Cr

Pros:
No major strengths recorded.

Cons:
No major concerns recorded.
"
LT,"LT demonstrates a notable financial profile.

Net Profit Margin: 7.03%

Operating Profit Margin: 14.0%

Return on Equity: 77.66999999999999%

Debt to Equity: 0.1035

Free Cash Flow: 20445.0 Cr

Pros:
No major strengths recorded.

Cons:
No major concerns recorded.
"
LTIM,"LTIM demonstrates a notable financial profile.

Net Profit Margin: 12.91%

Operating Profit Margin: 18.0%

Return on Equity: 22.9%

Debt to Equity: 0.1035

Free Cash Flow: 1752.0 Cr

Pros:
No major strengths recorded.

Cons:
No major concerns recorded.
"
M&M,"M&M demonstrates a notable financial profile.

Net Profit Margin: 8.82%

Operating Profit Margin: 18.0%

Return on Equity: 18.54%

Debt to Equity: 1.6414

Free Cash Flow: -11245.0 Cr

Pros:
No major strengths recorded.

Cons:
No major concerns recorded.
"
MARUTI,"MARUTI demonstrates a notable financial profile.

Net Profit Margin: 9.51%

Operating Profit Margin: 13.0%

Return on Equity: 15.75%

Debt to Equity: 0.0014

Free Cash Flow: 4936.0 Cr

Pros:
No major strengths recorded.

Cons:
No major concerns recorded.
"
MOTHERSON,"MOTHERSON demonstrates a notable financial profile.

Net Profit Margin: 3.06%

Operating Profit Margin: 9.0%

Return on Equity: 11.55%

Debt to Equity: 0.7617

Free Cash Flow: 925.0 Cr

Pros:
No major strengths recorded.

Cons:
No major concerns recorded.
"
NAUKRI,"NAUKRI demonstrates a notable financial profile.

Net Profit Margin: 23.46%

Operating Profit Margin: 28.0%

Return on Equity: 1.97%

Debt to Equity: 0.0081

Free Cash Flow: -150.0 Cr

Pros:
No major strengths recorded.

Cons:
No major concerns recorded.
"
NESTLEIND,"NESTLEIND demonstrates a notable financial profile.

Net Profit Margin: 16.12%

Operating Profit Margin: 24.0%

Return on Equity: 117.75%

Debt to Equity: 0.1033

Free Cash Flow: 2938.0 Cr

Pros:
No major strengths recorded.

Cons:
No major concerns recorded.
"
NHPC,"NHPC demonstrates a notable financial profile.

Net Profit Margin: 41.82%

Operating Profit Margin: 50.0%

Return on Equity: 10.41%

Debt to Equity: 0.8413

Free Cash Flow: 970.0 Cr

Pros:
No major strengths recorded.

Cons:
No major concerns recorded.
"
NTPC,"NTPC demonstrates a notable financial profile.

Net Profit Margin: 11.95%

Operating Profit Margin: 29.0%

Return on Equity: 13.27%

Debt to Equity: 1.4755

Free Cash Flow: 8644.0 Cr

Pros:
No major strengths recorded.

Cons:
No major concerns recorded.
"
ONGC,"ONGC demonstrates a notable financial profile.

Net Profit Margin: 9.66%

Operating Profit Margin: 17.0%

Return on Equity: 16.94%

Debt to Equity: 0.4544

Free Cash Flow: 42060.0 Cr

Pros:
No major strengths recorded.

Cons:
No major concerns recorded.
"
PFC,"PFC demonstrates a notable financial profile.

Net Profit Margin: 28.92%

Operating Profit Margin: 37.0%

Return on Equity: 26.16%

Debt to Equity: 8.5219

Free Cash Flow: -101229.0 Cr

Pros:
No major strengths recorded.

Cons:
No major concerns recorded.
"
PIDILITIND,"PIDILITIND demonstrates a notable financial profile.

Net Profit Margin: 14.11%

Operating Profit Margin: 22.0%

Return on Equity: 20.78%

Debt to Equity: 0.0454

Free Cash Flow: 955.0 Cr

Pros:
No major strengths recorded.

Cons:
No major concerns recorded.
"
PNB,"PNB demonstrates a notable financial profile.

Net Profit Margin: 8.4%

Operating Profit Margin: nan%

Return on Equity: 61.31999999999999%

Debt to Equity: 3.6843

Free Cash Flow: -29445.0 Cr

Pros:
No major strengths recorded.

Cons:
No major concerns recorded.
"
POWERGRID,"POWERGRID demonstrates a notable financial profile.

Net Profit Margin: 33.97%

Operating Profit Margin: 87.0%

Return on Equity: 17.87%

Debt to Equity: 1.4173

Free Cash Flow: 24176.0 Cr

Pros:
No major strengths recorded.

Cons:
No major concerns recorded.
"
RECLTD,"RECLTD demonstrates a notable financial profile.

Net Profit Margin: 29.77%

Operating Profit Margin: 101.0%

Return on Equity: 20.4%

Debt to Equity: 6.4249

Free Cash Flow: -59554.0 Cr

Pros:
No major strengths recorded.

Cons:
No major concerns recorded.
"
RELIANCE,"RELIANCE demonstrates a notable financial profile.

Net Profit Margin: 8.790000000000001%

Operating Profit Margin: 18.0%

Return on Equity: 9.959999999999999%

Debt to Equity: 0.5785

Free Cash Flow: 45207.0 Cr

Pros:
No major strengths recorded.

Cons:
No major concerns recorded.
"
SBILIFE,"SBILIFE demonstrates a notable financial profile.

Net Profit Margin: 1.43%

Operating Profit Margin: 0.0%

Return on Equity: 12.7%

Debt to Equity: 0.0

Free Cash Flow: -2099.0 Cr

Pros:
Company is almost debt free.

Cons:
Stock is trading at 9.11 times its book value
"
SHREECEM,"SHREECEM demonstrates a notable financial profile.

Net Profit Margin: 8.450000000000001%

Operating Profit Margin: 22.0%

Return on Equity: 8.37%

Debt to Equity: 0.08

Free Cash Flow: 1929.0 Cr

Pros:
No major strengths recorded.

Cons:
No major concerns recorded.
"
SHRIRAMFIN,"SHRIRAMFIN demonstrates a notable financial profile.

Net Profit Margin: 20.33%

Operating Profit Margin: 29.0%

Return on Equity: 15.12%

Debt to Equity: 3.994

Free Cash Flow: -31359.0 Cr

Pros:
No major strengths recorded.

Cons:
No major concerns recorded.
"
SIEMENS,"SIEMENS demonstrates a notable financial profile.

Net Profit Margin: 12.22%

Operating Profit Margin: 14.0%

Return on Equity: 17.7%

Debt to Equity: 0.0182

Free Cash Flow: 1168.0 Cr

Pros:
No major strengths recorded.

Cons:
No major concerns recorded.
"
SUNPHARMA,"SUNPHARMA demonstrates a notable financial profile.

Net Profit Margin: 19.82%

Operating Profit Margin: 28.0%

Return on Equity: 15.09%

Debt to Equity: 0.0514

Free Cash Flow: 11372.0 Cr

Pros:
No major strengths recorded.

Cons:
No major concerns recorded.
"
TATACONSUM,"TATACONSUM demonstrates a notable financial profile.

Net Profit Margin: 7.99%

Operating Profit Margin: 15.0%

Return on Equity: 7.57%

Debt to Equity: 0.2165

Free Cash Flow: 26.0 Cr

Pros:
No major strengths recorded.

Cons:
No major concerns recorded.
"
TATAMOTORS,"TATAMOTORS demonstrates a notable financial profile.

Net Profit Margin: 7.26%

Operating Profit Margin: 14.0%

Return on Equity: 37.46%

Debt to Equity: 1.2631

Free Cash Flow: 45133.0 Cr

Pros:
No major strengths recorded.

Cons:
No major concerns recorded.
"
TATAPOWER,"TATAPOWER demonstrates a notable financial profile.

Net Profit Margin: 6.97%

Operating Profit Margin: 17.0%

Return on Equity: 13.23%

Debt to Equity: 1.6593

Free Cash Flow: 3569.0 Cr

Pros:
No major strengths recorded.

Cons:
No major concerns recorded.
"
TATASTEEL,"TATASTEEL demonstrates a notable financial profile.

Net Profit Margin: -2.14%

Operating Profit Margin: 10.0%

Return on Equity: -5.33%

Debt to Equity: 0.9462

Free Cash Flow: 6048.0 Cr

Pros:
No major strengths recorded.

Cons:
No major concerns recorded.
"
TCS,"TCS demonstrates a notable financial profile.

Net Profit Margin: 19.14%

Operating Profit Margin: 27.0%

Return on Equity: 50.94%

Debt to Equity: 0.0886

Free Cash Flow: 50429.0 Cr

Pros:
Company is almost debt free.

Cons:
Stock is trading at 15.2 times its book value
"
TECHM,"TECHM demonstrates a notable financial profile.

Net Profit Margin: 4.61%

Operating Profit Margin: 9.0%

Return on Equity: 8.99%

Debt to Equity: 0.0951

Free Cash Flow: 5058.0 Cr

Pros:
No major strengths recorded.

Cons:
No major concerns recorded.
"
TITAN,"TITAN demonstrates a notable financial profile.

Net Profit Margin: 6.84%

Operating Profit Margin: 10.0%

Return on Equity: 37.22%

Debt to Equity: 1.6531

Free Cash Flow: 1506.0 Cr

Pros:
No major strengths recorded.

Cons:
No major concerns recorded.
"
TORNTPHARM,"TORNTPHARM demonstrates a notable financial profile.

Net Profit Margin: 15.44%

Operating Profit Margin: 31.0%

Return on Equity: 24.15%

Debt to Equity: 0.5866

Free Cash Flow: 3106.0 Cr

Pros:
No major strengths recorded.

Cons:
No major concerns recorded.
"
TRENT,"TRENT demonstrates a notable financial profile.

Net Profit Margin: 11.94%

Operating Profit Margin: 16.0%

Return on Equity: 36.31%

Debt to Equity: 0.4309

Free Cash Flow: 841.0 Cr

Pros:
No major strengths recorded.

Cons:
No major concerns recorded.
"
TVSMOTOR,"TVSMOTOR demonstrates a notable financial profile.

Net Profit Margin: 4.54%

Operating Profit Margin: 14.0%

Return on Equity: 26.22%

Debt to Equity: 3.8334

Free Cash Flow: -2254.0 Cr

Pros:
No major strengths recorded.

Cons:
No major concerns recorded.
"
ULTRACEMCO,"ULTRACEMCO demonstrates a notable financial profile.

Net Profit Margin: 9.879999999999999%

Operating Profit Margin: 18.0%

Return on Equity: 11.63%

Debt to Equity: 0.1893

Free Cash Flow: 2109.0 Cr

Pros:
No major strengths recorded.

Cons:
No major concerns recorded.
"
UNIONBANK,"UNIONBANK demonstrates a notable financial profile.

Net Profit Margin: 13.75%

Operating Profit Margin: 5.0%

Return on Equity: 14.14%

Debt to Equity: 12.8237

Free Cash Flow: 18536.0 Cr

Pros:
No major strengths recorded.

Cons:
No major concerns recorded.
"
